Asset,Weight,Weight_Pct
SPY,0.2485704710193042,24.9%
AGG,0.21785703397564402,21.8%
GLD,0.16133258937628037,16.1%
XLE,0.1274882834991458,12.7%
XLF,0.14148022371809135,14.1%
XLK,0.10327139859533656,10.3%
